"Metric","FMP.Area","OFL","ABC","Biomass","FOFL","FABC"
"T5RFXq","GOA",10343.0857142857,7757.31428571428,54301.2,0.04,0.03
"T6mean","BSAI",269.830757304223,202.373067978167,NA,NA,NA
"T65pct","BSAI",101.190602905516,75.892952179137,NA,NA,NA
"T695pct","BSAI",438.47091170293,328.853183777198,NA,NA,NA
"T65ptl","BSAI",65.72715780986,49.295368357395,NA,NA,NA
"T625ptl","BSAI",87.5073015049,65.630476128675,NA,NA,NA
"T6med","BSAI",130.4634900167,97.847617512525,NA,NA,NA
"T695ptl","BSAI",675.436583990399,506.577437992799,NA,NA,NA
"T699ptl","BSAI",893.81973700992,670.36480275744,NA,NA,NA
"T6maxsp","BSAI",948.4155252648,711.3116439486,NA,NA,NA
"T6mean","GOA",568.980090909091,426.735068181818,NA,NA,NA
"T65pct","GOA",161.395895743456,121.046921807592,NA,NA,NA
"T695pct","GOA",976.564286074726,732.423214556044,NA,NA,NA
"T65ptl","GOA",167.831,125.87325,NA,NA,NA
"T625ptl","GOA",319.9455,239.959125,NA,NA,NA
"T6med","GOA",400.958,300.7185,NA,NA,NA
"T695ptl","GOA",1470.182,1102.6365,NA,NA,NA
"T699ptl","GOA",1996.8076,1497.6057,NA,NA,NA
"T6maxsp","GOA",2128.464,1596.348,NA,NA,NA
"T6maxc","BSAI",689.399,517.04925,NA,NA,NA
"T6maxc","GOA",1524.3,1143.225,NA,NA,NA
