species,survey_year,fmp_sub_area,rpn_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci,akfin_load_date
Spiny dogfish,2001,EY/SE,EY/SE100,65,63,2608.68075542599,2610.16479443123,1.48403900524272,273.379966846282,2079.77324170151,3157.74010827779,5004.79838086175,3357.31745343573,6717.23147339387,2022-07-22T00:16:12Z
Spiny dogfish,2001,EY/SE,EY/SE200,25,23,439.028047314707,438.4773256662,-0.550721648507306,63.4185017357844,322.560100324839,577.034117157819,5004.79838086175,3357.31745343573,6717.23147339387,2022-07-22T00:16:12Z
Spiny dogfish,2001,EY/SE,EY/SE300500,7,3,43.3435511707581,43.3077900130796,-0.0357611576784507,22.7033227543581,5.18102659164063,101.027346962191,5004.79838086175,3357.31745343573,6717.23147339387,2022-07-22T00:16:12Z
Spiny dogfish,2001,WGOA,WG0,62,5,33.5790332589746,34.2144911553125,0.635457896337961,14.6306046696516,11.4811931374923,67.4704234302225,46.9142050564446,14.6304169967412,98.7634722722297,2022-07-22T00:16:12Z
Spiny dogfish,2001,WGOA,WG100,47,4,12.5385758415785,12.699713901132,0.161138059553487,6.25070807429183,3.14922385924885,31.2930488420072,46.9142050564446,14.6304169967412,98.7634722722297,2022-07-22T00:16:12Z
Spiny dogfish,2001,WGOA,WG200,7,0,0,0,0,0,0,0,46.9142050564446,14.6304169967412,98.7634722722297,2022-07-22T00:16:12Z
Spiny dogfish,2001,WGOA,WG300500,3,0,0,0,0,0,0,0,46.9142050564446,14.6304169967412,98.7634722722297,2022-07-22T00:16:12Z
Spiny dogfish,2001,WY,WY0,19,19,6304.33136430837,6295.13375963551,-9.19760467285869,434.2930336482,5392.20396666696,7115.11056918266,11991.7440591094,9540.76839770318,14624.0775323205,2022-07-22T00:16:12Z
Spiny dogfish,2001,WY,WY100,40,34,5232.71550094368,5224.64748085727,-8.06802008640352,697.135014777003,3932.24964995832,6651.70972732736,11991.7440591094,9540.76839770318,14624.0775323205,2022-07-22T00:16:12Z
Spiny dogfish,2001,WY,WY200,11,7,471.369750730868,471.962818616598,0.593067885730193,155.781007945971,216.314781077905,857.257235810508,11991.7440591094,9540.76839770318,14624.0775323205,2022-07-22T00:16:12Z
