Year,Sex,PCL,FL,TL,TLcm,TLbin,Weight,Frequency,Source,Gear,LAT,LONG,FMP
2000,2,1147.61191,1270,1316.9221,131.69221,130,24.1,1,RACE_TWL,Bottom Trawl,58.52142,-176.0954,BS
2000,1,1147.61191,1270,1316.9221,131.69221,130,24.4639792,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1156.691409,1280,1327.2491,132.72491,130,13,1,RACE_TWL,Bottom Trawl,56.14207,-169.0034,BS
2000,2,1159.11,,1330,133,130,22.5,1,RACE_TWL,Bottom Trawl,57.74611,-173.9001,BS
2000,2,1159.11,,1330,133,130,22.9,1,RACE_TWL,Bottom Trawl,54.79,-165.15917,BS
2000,2,1165.770907,1290,1337.5761,133.75761,130,19.2,1,RACE_TWL,Bottom Trawl,59.33491,-178.33881,BS
2000,3,1174.850406,1300,1347.9031,134.79031,130,26.22845799,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,2,1193.009402,1320,1368.5571,136.85571,130,27.45065709,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,2,1202.088901,1330,1378.8841,137.88841,130,22.5,1,RACE_TWL,Bottom Trawl,57.74559,-173.9026,BS
2000,1,1211.168399,1340,1389.2111,138.92111,130,21.9,1,RACE_TWL,Bottom Trawl,58.55993,-174.84,BS
2000,2,1220.247898,1350,1399.5381,139.95381,130,29.35417819,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1220.247898,1350,1399.5381,139.95381,130,29.35417819,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,1,1247.486393,1380,1430.5191,143.05191,140,31.34364913,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,2,1247.486393,1380,1430.5191,143.05191,140,31.34364913,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1256.565891,1390,1440.8461,144.08461,140,21.9,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
2000,1,1256.565891,1390,1440.8461,144.08461,140,32.02623329,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1256.565891,1390,1440.8461,144.08461,140,32.02623329,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1265.64539,1400,1451.1731,145.11731,140,27.1,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
2000,1,1265.64539,1400,1451.1731,145.11731,140,29.5,1,RACE_TWL,Bottom Trawl,58.55993,-174.84,BS
2000,1,1265.64539,1400,1451.1731,145.11731,140,32.71864788,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1265.64539,1400,1451.1731,145.11731,140,32.71864788,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,3,1274.724888,1410,1461.5001,146.15001,140,33.42096302,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,1,1283.804386,1420,1471.8271,147.18271,140,34.13324881,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1283.804386,1420,1471.8271,147.18271,140,34.13324881,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1283.804386,1420,1471.8271,147.18271,140,34.13324881,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1283.804386,1420,1471.8271,147.18271,140,34.13324881,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1292.883885,1430,1482.1541,148.21541,140,34.85557536,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1301.963383,1440,1492.4811,149.24811,140,35.58801275,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1320.12238,1460,1513.1351,151.31351,150,37.08350048,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1320.12238,1460,1513.1351,151.31351,150,37.08350048,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1320.12238,1460,1513.1351,151.31351,150,37.08350048,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,1,1329.201878,1470,1523.4621,152.34621,150,29.3,1,RACE_TWL,Bottom Trawl,57.63546,-174.19231,BS
2000,2,1329.201878,1470,1523.4621,152.34621,150,37.84669101,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1329.201878,1470,1523.4621,152.34621,150,37.84669101,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1334.95,,1530,153,150,33.3,1,RACE_TWL,Bottom Trawl,54.42094,-166.5864,BS
2000,2,1338.281377,1480,1533.7891,153.37891,150,25.4,1,RACE_TWL,Bottom Trawl,58.56185,-174.8364,BS
2000,2,1338.281377,1480,1533.7891,153.37891,150,33.9,1,RACE_TWL,Bottom Trawl,56.06413,-168.7999,BS
2000,1,1338.281377,1480,1533.7891,153.37891,150,38.62027276,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1338.281377,1480,1533.7891,153.37891,150,38.62027276,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1347.360875,1490,1544.1161,154.41161,150,39.40431582,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1347.360875,1490,1544.1161,154.41161,150,39.40431582,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1356.440374,1500,1554.4431,155.44431,150,25.9,1,RACE_TWL,Bottom Trawl,56.51403,-172.37601,BS
2000,2,1356.440374,1500,1554.4431,155.44431,150,40.19889029,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,2,1356.440374,1500,1554.4431,155.44431,150,40.19889029,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1365.519872,1510,1564.7701,156.47701,150,27.2,1,RACE_TWL,Bottom Trawl,56.14666,-169.4346,BS
2000,1,1365.519872,1510,1564.7701,156.47701,150,41.00406624,1,RACE_TWL,Bottom Trawl,58.54702,-174.6028,BS
2000,1,1365.519872,1510,1564.7701,156.47701,150,41.00406624,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1374.59937,1520,1575.0971,157.50971,150,32.4,1,RACE_TWL,Bottom Trawl,58.62094,-175.03371,BS
2000,1,1374.59937,1520,1575.0971,157.50971,150,41.81991375,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
