# Model start and end years 
 1984 2020 
 # Number of survey indices fit (i.e., regions/depth strata) 
 3 
 # Number or process error parameters 
 1 
 # Process error index 
 1 1 1 
 # Number of surveys 
 16 
 # Survey years 
 1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017 2019 
 # Survey biomass 
2141.06826503897 7959.27543546413 42.5699414052126
1592.16542025435 7859.27074554531 655.464058362648
15390.7570222789 3251.19008616513 305.490142882034
7574.23524714849 25912.6414881734 157.990489352662
3208.9672518335 25041.0135015157 228.036869531679
16215.7832088393 15345.0615827468 182.1664340815
31527.4453807352 -9 246.904752168694
59854.7578359175 38809.9487510515 79.1283696494244
15936.1404723502 31973.6748393078 28.838709583356
27408.9059648919 135262.893493846 87.5320745912017
11156.7604518412 16535.9702102479 187.065867537287
15677.8273036243 25415.1939482632 0
19307.0150494112 140873.61780496 203.477325209973
18743.757362994 32952.747361994 219.859786220386
27384.9157651115 26593.4460930999 0
13313.1005464463 8548.24957647151 152.699797203143
# Survey biomass SE
578.236641874111 2007.46629493453 18.7407960555891
669.375912491258 2631.19499014356 195.581055936653
7130.69362432947 703.258292461045 160.18967288888
1952.01839296299 6567.95361582731 67.5875679500773
898.684812570485 20931.5810055069 95.1812084471835
2155.02985047036 3809.77753666514 122.14201003556
14282.7681276604 -9 129.981378005737
20207.0299641765 7596.28715033961 55.9799126930706
5134.79349252428 6341.85463373907 28.838709583356
4576.99289023567 56567.1210407432 48.1642875007367
1934.94962312166 2712.51697215556 69.5511345600719
5094.04825835008 7358.87534126054 0
8066.74000112393 64344.8233522137 95.0229629492294
7666.55162864819 10745.702855112 98.778421051604
6949.74376286275 7475.89123640351 0
2508.27349221724 1998.61946421704 113.20287812595
