YEAR,REGULATORY_AREA_NAME,Biom_est,Biom_CV,Biom_LL,Biom_UL,Group
1984,CENTRAL GOA,2140.01,0.821904,3539.257721,1293.955728,Spiny_Dogfish
1985,CENTRAL GOA,2135.03,0.591717,5622.715758,810.703101,Spiny_Dogfish
1986,CENTRAL GOA,2130.05,0.689025,5832.09179,777.9563775,Spiny_Dogfish
1987,CENTRAL GOA,2125.09,0.838548,4259.958398,1060.106012,Spiny_Dogfish
1988,CENTRAL GOA,3582.13,0.971902,10016.36881,1281.068577,Spiny_Dogfish
1989,CENTRAL GOA,6038.15,1.12529,17099.00635,2132.244101,Spiny_Dogfish
1990,CENTRAL GOA,10178.1,1.30773,21543.31917,4808.623907,Spiny_Dogfish
1991,CENTRAL GOA,9148.68,1.50606,25444.61697,3289.432333,Spiny_Dogfish
1992,CENTRAL GOA,8223.37,1.72808,21592.85387,3131.768249,Spiny_Dogfish
1993,CENTRAL GOA,7391.64,1.93847,11804.99884,4628.237804,Spiny_Dogfish
1994,CENTRAL GOA,5938.64,2.08901,15238.82109,2314.315841,Spiny_Dogfish
1995,CENTRAL GOA,4771.26,0.639687,12327.08928,1846.739443,Spiny_Dogfish
1996,CENTRAL GOA,3833.35,0.834564,6369.832248,2306.900975,Spiny_Dogfish
1997,CENTRAL GOA,6179.23,0.998738,15782.45418,2419.324837,Spiny_Dogfish
1998,CENTRAL GOA,9960.72,1.10734,24565.45231,4038.840469,Spiny_Dogfish
1999,CENTRAL GOA,16056.3,1.24892,20701.44565,12453.46697,Spiny_Dogfish
2000,CENTRAL GOA,21903.8,1.33075,50666.24236,9469.351427,Spiny_Dogfish
2001,CENTRAL GOA,29880.7,1.3618,58679.2321,15215.88133,Spiny_Dogfish
2002,CENTRAL GOA,37442.4,1.34326,91368.22334,15343.77343,Spiny_Dogfish
2003,CENTRAL GOA,46917.5,1.30184,83223.8479,26449.77205,Spiny_Dogfish
2004,CENTRAL GOA,30170.7,1.46695,71272.01364,12771.78926,Spiny_Dogfish
2005,CENTRAL GOA,19401.5,0.513088,33443.58344,11255.31906,Spiny_Dogfish
2006,CENTRAL GOA,22483.3,0.381533,50992.99403,9913.102544,Spiny_Dogfish
2007,CENTRAL GOA,26054.7,0.480101,35629.88294,19052.75393,Spiny_Dogfish
2008,CENTRAL GOA,17511.6,0.459822,38469.29376,7971.452152,Spiny_Dogfish
2009,CENTRAL GOA,11769.7,0.454424,16276.72141,8510.67206,Spiny_Dogfish
2010,CENTRAL GOA,13487.5,0.417195,30648.92568,5935.368115,Spiny_Dogfish
2011,CENTRAL GOA,15455.9,0.418188,26637.08366,8968.13059,Spiny_Dogfish
2012,CENTRAL GOA,16983.3,0.459009,40922.68146,7048.230189,Spiny_Dogfish
2013,CENTRAL GOA,18661.6,0.412251,35751.35522,9741.038135,Spiny_Dogfish
2014,CENTRAL GOA,19263.7,0.483731,47423.91778,7824.957428,Spiny_Dogfish
2015,CENTRAL GOA,19885.2,0.475726,37714.07385,10484.71137,Spiny_Dogfish
2016,CENTRAL GOA,22982,0.238415,54441.51362,9701.646572,Spiny_Dogfish
2017,CENTRAL GOA,26561.1,0.565361,42493.69787,16602.27442,Spiny_Dogfish
2018,CENTRAL GOA,26561.1,0.563114,85043.79673,8295.631902,Spiny_Dogfish
2019,CENTRAL GOA,26561.1,0.186164,128596.7191,5486.081122,Spiny_Dogfish
2020,CENTRAL GOA,26561.1,0.158113,178103.4746,3961.135709,Spiny_Dogfish
1984,EASTERN GOA,7915.54,0.750103,12692.05536,4936.613629,Spiny_Dogfish
1985,EASTERN GOA,7709.09,0.592899,19922.61487,2983.0456,Spiny_Dogfish
1986,EASTERN GOA,7508.02,0.729424,19779.86582,2849.886083,Spiny_Dogfish
1987,EASTERN GOA,7312.19,0.87286,13028.54942,4103.919852,Spiny_Dogfish
1988,EASTERN GOA,5825.79,0.998315,15268.01401,2222.936729,Spiny_Dogfish
1989,EASTERN GOA,4641.54,1.17194,11809.31005,1824.314332,Spiny_Dogfish
1990,EASTERN GOA,3698.03,1.35279,5551.189368,2463.512767,Spiny_Dogfish
1991,EASTERN GOA,6774.72,1.56145,17085.05932,2686.372358,Spiny_Dogfish
1992,EASTERN GOA,12411.2,1.7826,31603.33114,4874.102821,Spiny_Dogfish
1993,EASTERN GOA,22737,1.9771,36301.0096,14241.23391,Spiny_Dogfish
1994,EASTERN GOA,22388.6,0.930817,60481.56094,8287.640103,Spiny_Dogfish
1995,EASTERN GOA,22045.4,0.678945,66980.1645,7255.874404,Spiny_Dogfish
1996,EASTERN GOA,21707.6,0.886527,57855.61728,8144.756204,Spiny_Dogfish
1997,EASTERN GOA,19737.2,1.02421,59864.20936,6507.345007,Spiny_Dogfish
1998,EASTERN GOA,17945.7,1.14938,48315.30248,6665.55174,Spiny_Dogfish
1999,EASTERN GOA,16316.8,1.27436,25807.08462,10316.46798,Spiny_Dogfish
2000,EASTERN GOA,20096.7,1.34334,54046.46084,7472.780727,Spiny_Dogfish
2001,EASTERN GOA,24752.3,1.36123,74764.17407,8194.785309,Spiny_Dogfish
2002,EASTERN GOA,30486.4,1.33176,80382.8273,11562.42715,Spiny_Dogfish
2003,EASTERN GOA,37548.8,1.30187,54053.38127,26083.70371,Spiny_Dogfish
2004,EASTERN GOA,35666.7,1.51798,79225.02652,16056.96514,Spiny_Dogfish
2005,EASTERN GOA,33878.9,0.354271,48802.02665,23519.10246,Spiny_Dogfish
2006,EASTERN GOA,50141.5,0.520895,117490.017,21399.00977,Spiny_Dogfish
2007,EASTERN GOA,74210.7,0.483511,146323.942,37637.23092,Spiny_Dogfish
2008,EASTERN GOA,36515.3,0.129634,84803.20957,15723.07394,Spiny_Dogfish
2009,EASTERN GOA,17967.4,0.291849,24501.12916,13176.02387,Spiny_Dogfish
2010,EASTERN GOA,22281.1,0.159623,50171.11514,9895.084369,Spiny_Dogfish
2011,EASTERN GOA,27630.6,0.277614,45552.20789,16759.89138,Spiny_Dogfish
2012,EASTERN GOA,46574.2,0.326063,112608.6958,19262.77621,Spiny_Dogfish
2013,EASTERN GOA,78505.5,0.182132,160383.074,38427.45607,Spiny_Dogfish
2014,EASTERN GOA,53140.6,0.493539,129838.0197,21749.58749,Spiny_Dogfish
2015,EASTERN GOA,35971.1,0.206956,62289.33593,20772.73767,Spiny_Dogfish
2016,EASTERN GOA,31465.8,0.506247,73737.49649,13427.31469,Spiny_Dogfish
2017,EASTERN GOA,27524.9,0.504614,45975.43948,16478.80104,Spiny_Dogfish
2018,EASTERN GOA,27524.9,0.493903,89736.09182,8442.758144,Spiny_Dogfish
2019,EASTERN GOA,27524.9,0.433519,135057.1051,5609.628013,Spiny_Dogfish
2020,EASTERN GOA,27524.9,0.413498,186625.7976,4059.568022,Spiny_Dogfish
1984,GOA,10119.9,0.674095,14886.6,6879.53,Spiny_Dogfish
1985,GOA,9972.5,0.598848,21702,4582.56,Spiny_Dogfish
1986,GOA,9894.17,0.767436,21648.4,4522.02,Spiny_Dogfish
1987,GOA,9948.16,0.907214,15666.6,6317.01,Spiny_Dogfish
1988,GOA,9838.02,1.04359,19907.7,4861.78,Spiny_Dogfish
1989,GOA,11041.8,1.21762,22641.9,5384.77,Spiny_Dogfish
1990,GOA,14181,1.3981,24914.5,8071.63,Spiny_Dogfish
1991,GOA,16179.4,1.61723,33258.4,7870.88,Spiny_Dogfish
1992,GOA,20849.5,1.83615,41676.5,10430.4,Spiny_Dogfish
1993,GOA,30309.2,2.01504,43923.1,20914.9,Spiny_Dogfish
1994,GOA,28518.8,0.844982,64929.7,12526.2,Spiny_Dogfish
1995,GOA,27020.1,0.723707,69776.3,10463.2,Spiny_Dogfish
1996,GOA,25756.8,0.930528,60470.8,10970.8,Spiny_Dogfish
1997,GOA,26123.5,1.04454,64149.5,10638.3,Spiny_Dogfish
1998,GOA,28105,1.1867,58378.2,13530.6,Spiny_Dogfish
1999,GOA,32563.7,1.29637,42435.6,24988.3,Spiny_Dogfish
2000,GOA,42190,1.35296,81743,21775.5,Spiny_Dogfish
2001,GOA,54821.5,1.35796,105784,28410.8,Spiny_Dogfish
