species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Common sharks,1998,AI,AI0,21,2,12.444064389162286,12.590745782676557,0.146681393514271,8.13572539945516,0,37.401440232124536,24.0216134244575,0,79.36685853141611
Common sharks,1998,AI,AI100,36,2,11.350156444950509,11.430867641780942,0.0807111968304337,8.227342807795226,0,41.96541829929158,24.0216134244575,0,79.36685853141611
Common sharks,1998,AI,AI200,12,0,0,0,0,0,0,0,24.0216134244575,0,79.36685853141611
Common sharks,1998,AI,AI300500,9,0,0,0,0,0,0,0,24.0216134244575,0,79.36685853141611
Common sharks,1998,BS,BS0,3,4,2103.5527424873635,2069.412472324063,-34.140270163300556,302.0362264861586,304.9498416606451,2379.2521367521367,3296.2709147813057,1005.1743018767464,4486.126415548257
Common sharks,1998,BS,BS100,24,11,1090.8952300432052,1084.519807927442,-6.3754221157632855,275.2555258631133,688.0191589585071,1843.9379404044992,3296.2709147813057,1005.1743018767464,4486.126415548257
Common sharks,1998,BS,BS200400,18,6,28.549488729084274,28.202849530182476,-0.34663919890179784,10.352833113756589,12.20530125759418,56.59765100335536,3296.2709147813057,1005.1743018767464,4486.126415548257
Common sharks,1998,BS,BS400600,3,2,114.18449662285427,114.13578499961848,-0.04871162323578915,68.42830394986376,0,206.33868738826573,3296.2709147813057,1005.1743018767464,4486.126415548257
Common sharks,1998,CGOA,CG0,124,99,2930.4940894582037,2925.048547325993,-5.445542132210903,429.0804767934849,2253.544744051022,3958.408875010441,7227.650976931916,5598.804505505102,9643.813372358842
Common sharks,1998,CGOA,CG100,181,153,3203.2797464410673,3205.25711532265,1.9773688815826063,409.71905150288205,2520.588412151312,4129.943387943659,7227.650976931916,5598.804505505102,9643.813372358842
Common sharks,1998,CGOA,CG200,74,64,1100.8288096103113,1093.8425135579523,-6.986296052358966,172.05321434712855,824.671349302768,1541.012372347689,7227.650976931916,5598.804505505102,9643.813372358842
Common sharks,1998,CGOA,CG300500,9,1,3.5899534410226424,3.5028007253217672,-0.08715271570087513,3.3314103248821914,0,14.448737057051607,7227.650976931916,5598.804505505102,9643.813372358842
Common sharks,1998,EY/SE,EY/SE0,19,15,1996.5762280497347,2005.2329196198955,8.656691570160774,429.9526724725768,1193.8343728024336,2866.637545499876,4146.138042001673,2832.8171797761133,5642.538119726176
Common sharks,1998,EY/SE,EY/SE100,70,76,1918.636906186424,1910.8809305744408,-7.755975611983331,236.53994068506051,1483.6929929330818,2416.385116682348,4146.138042001673,2832.8171797761133,5642.538119726176
