"Year","NMFS_Area","Nfish","Type","Species"
"2006","Western",1,"Retained","Salmon Shark"
"2007","Western",0,"Retained","Salmon Shark"
"2008","Western",0,"Retained","Salmon Shark"
"2009","Western",0,"Retained","Salmon Shark"
"2010","Western",0,"Retained","Salmon Shark"
"2011","Western",0,"Retained","Salmon Shark"
"2012","Western",0,"Retained","Salmon Shark"
"2013","Western",0,"Retained","Salmon Shark"
"2014","Western",0,"Retained","Salmon Shark"
"2015","Western",0,"Retained","Salmon Shark"
"2016","Western",0,"Retained","Salmon Shark"
"2017","Western",0,"Retained","Salmon Shark"
"2018","Western",0,"Retained","Salmon Shark"
"2019","Western",1,"Retained","Salmon Shark"
"1998","Central",84,"Retained","Salmon Shark"
"1999","Central",NA,"Retained","Salmon Shark"
"2000","Central",99,"Retained","Salmon Shark"
"2001","Central",85,"Retained","Salmon Shark"
"2002","Central",90,"Retained","Salmon Shark"
"2003","Central",97,"Retained","Salmon Shark"
"2004","Central",56,"Retained","Salmon Shark"
"2005","Central",38,"Retained","Salmon Shark"
"2006","Central",37,"Retained","Salmon Shark"
"2007","Central",37,"Retained","Salmon Shark"
"2008","Central",13,"Retained","Salmon Shark"
"2009","Central",13,"Retained","Salmon Shark"
"2010","Central",7,"Retained","Salmon Shark"
"2011","Central",7,"Retained","Salmon Shark"
"2012","Central",10,"Retained","Salmon Shark"
"2013","Central",4,"Retained","Salmon Shark"
"2014","Central",5,"Retained","Salmon Shark"
"2015","Central",14,"Retained","Salmon Shark"
"2016","Central",7,"Retained","Salmon Shark"
"2017","Central",9,"Retained","Salmon Shark"
"2018","Central",8,"Retained","Salmon Shark"
"2019","Central",14,"Retained","Salmon Shark"
"1998","Eastern",122,"Retained","Salmon Shark"
"1999","Eastern",NA,"Retained","Salmon Shark"
"2000","Eastern",76,"Retained","Salmon Shark"
"2001","Eastern",98,"Retained","Salmon Shark"
"2002","Eastern",110,"Retained","Salmon Shark"
"2003","Eastern",86,"Retained","Salmon Shark"
"2004","Eastern",103,"Retained","Salmon Shark"
"2005","Eastern",202,"Retained","Salmon Shark"
"2006","Eastern",246,"Retained","Salmon Shark"
"2007","Eastern",207,"Retained","Salmon Shark"
"2008","Eastern",81,"Retained","Salmon Shark"
"2009","Eastern",50,"Retained","Salmon Shark"
"2010","Eastern",20,"Retained","Salmon Shark"
"2011","Eastern",1,"Retained","Salmon Shark"
"2012","Eastern",11,"Retained","Salmon Shark"
"2013","Eastern",3,"Retained","Salmon Shark"
"2014","Eastern",17,"Retained","Salmon Shark"
"2015","Eastern",10,"Retained","Salmon Shark"
"2016","Eastern",3,"Retained","Salmon Shark"
"2017","Eastern",8,"Retained","Salmon Shark"
"2018","Eastern",6,"Retained","Salmon Shark"
"2019","Eastern",7,"Retained","Salmon Shark"
