"Year","FMP.Area","OLD_Catch","NEW_Catch","diff","pdiff"
2010,"GOA",689.1038081493,695.1676238343,6.06381568500001,0.88
2011,"GOA",523.1721560118,528.8637571014,5.6916010896,1.09
2012,"GOA",661.1931004678,670.0146694739,8.82156900609993,1.33
2013,"BSAI",112.6304556903,116.2996103786,3.6691546883,3.26
2013,"GOA",2179.0670545745,2180.9413729828,1.87431840830004,0.09
2013,"INSD",271.2344839347,275.8706671764,4.6361832417,1.71
2014,"GOA",1552.8575920427,1576.3701407326,23.5125486899001,1.51
2016,"BSAI",131.0398671011,134.3550622138,3.31519511270002,2.53
2017,"GOA",1632.0025934184,1762.7388879144,130.736294496,8.01
