"Year","Source","FMP","Survey","Volume"
2006,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_TWLt",0
2007,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_TWLt",0
2008,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_TWLt",0.47
2009,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_TWLt",2.02
1989,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",751
1990,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",583
1991,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2039
1992,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",3881
1993,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2557
1994,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2323
1995,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",3882
1996,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2206
1997,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2822
1998,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",7701
1999,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",1185
2000,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",1212
2001,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",1726
2002,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",1576
2003,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",2372
2004,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",1964
2005,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",3775
2006,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",6593
2007,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",3552
2008,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",3606
2009,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","AFSC_LLn",4709
1979,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",4
1980,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",4
1981,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",5
1982,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",15
1983,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",33
1984,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",40
1985,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",53
1986,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",52
1987,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",61
1988,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",30
1989,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",27
