species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (with Inside waters),1998,BSAI,126,23,0.0022960047897587757,0.00229457623086073,-1.428558898045832e-6,6.654803075916986e-4,0.0013611612249871273,0.0043588930204249594
Sleeper shark,FMP (with Inside waters),1998,CAN,130,2,1.1057008542549135e-4,1.1165457127017727e-4,1.0844858446859123e-6,8.015147476367672e-5,0,4.009344395472885e-4
Sleeper shark,FMP (with Inside waters),1998,GOA,775,222,0.007127355671010718,0.007114110640834499,-1.3245030176218565e-5,6.832329338036207e-4,0.005938393273677507,0.008680605978990672
Sleeper shark,FMP (with Inside waters),1999,BSAI,99,7,0.0016841834148572468,0.0017098296124066908,2.564619754944408e-5,7.675432940431038e-4,5.214256848131058e-4,0.003801263649036491
Sleeper shark,FMP (with Inside waters),1999,CAN,168,6,2.63734621170579e-4,2.655213194670706e-4,1.7866982964915797e-6,1.086992212786729e-4,1.1275230039445011e-4,5.824670008927545e-4
Sleeper shark,FMP (with Inside waters),1999,GOA,772,214,0.0072844842400099814,0.0073011249091665675,1.6640669156586102e-5,6.309157927741636e-4,0.006119275778632414,0.008687924720033092
Sleeper shark,FMP (with Inside waters),1999,WC,84,2,1.7041222669293127e-4,1.7387103187295157e-4,3.458805180020307e-6,1.2094477728433951e-4,0,5.963581466932856e-4
Sleeper shark,FMP (with Inside waters),2000,BSAI,193,60,0.0039692312897991544,0.003961592677891022,-7.638611908132587e-6,5.453816862263634e-4,0.003007645233738292,0.005175292982395175
Sleeper shark,FMP (with Inside waters),2000,CAN,130,5,3.900883587147481e-4,3.94563197906443e-4,4.474839191694893e-6,0.00018678775024311608,1.1137803634713845e-4,9.359349916627898e-4
Sleeper shark,FMP (with Inside waters),2000,GOA,765,230,0.0077412046609730435,0.007693202672521637,-4.8001988451406435e-5,6.826110429844068e-4,0.006499833364639322,0.009197263973856572
Sleeper shark,FMP (with Inside waters),2001,BSAI,196,21,0.0014879210060366182,0.0014845675616514248,-3.35344438519335e-6,3.5105420158948583e-4,9.223149340045964e-4,0.002382968587780795
Sleeper shark,FMP (with Inside waters),2001,CAN,172,6,3.569672518456423e-4,3.511015076874721e-4,-5.86574415817017e-6,1.418710208290568e-4,1.2145328903572776e-4,7.706750903129659e-4
Sleeper shark,FMP (with Inside waters),2001,GOA,753,191,0.008762422677753644,0.008782056608521894,1.963393076825047e-5,8.081206434483885e-4,0.007331052614527215,0.010515138538807246
Sleeper shark,FMP (with Inside waters),2001,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2002,BSAI,196,25,0.0016525253178853428,0.0016664933351815815,1.3968017296238713e-5,3.3744990347753495e-4,0.0010830104295856508,0.0024305045232864285
Sleeper shark,FMP (with Inside waters),2002,CAN,171,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2002,GOA,760,205,0.008994000513046928,0.009015302302869324,2.1301789822396333e-5,8.003304447794084e-4,0.007628090275174469,0.010816565056654818
Sleeper shark,FMP (with Inside waters),2002,WC,84,1,1.1894692609812814e-4,1.1918328250326835e-4,2.3635640514021203e-7,1.1743179716639227e-4,0,5.971858120388468e-4
Sleeper shark,FMP (with Inside waters),2003,BSAI,195,35,0.002355367568299733,0.0023584357019179876,3.0681336182546495e-6,4.0394337638265733e-4,0.00164126374589511,0.0032408614605482625
Sleeper shark,FMP (with Inside waters),2003,CAN,170,5,5.960988904215253e-5,6.062371183018066e-5,1.0138227880281312e-6,2.984079019065127e-5,2.231812762961949e-5,1.5511071566422027e-4
Sleeper shark,FMP (with Inside waters),2003,GOA,764,188,0.008519586818578905,0.008524989218756183,5.402400177278305e-6,8.163143595351176e-4,0.006992758169405863,0.010370847687740577
Sleeper shark,FMP (with Inside waters),2003,WC,84,3,4.7905206293708647e-4,4.754406274264167e-4,-3.6114355106697804e-6,2.840211043392493e-4,1.1924116086430325e-4,0.001649286227406904
Sleeper shark,FMP (with Inside waters),2004,BSAI,196,32,0.0020214188261599374,0.002027342820116827,5.923993956889577e-6,4.0047508622797476e-4,0.001380735768032786,0.0030125878593708338
Sleeper shark,FMP (with Inside waters),2004,CAN,171,7,1.566497833011331e-4,1.5760196572151192e-4,9.521824203788246e-7,7.246580024399884e-5,5.995048221689756e-5,3.7789368091526674e-4
Sleeper shark,FMP (with Inside waters),2004,GOA,753,144,0.006498576008043692,0.006529564564265127,3.0988556221434385e-5,7.481248875991507e-4,0.005105067158644784,0.008027290534745754
Sleeper shark,FMP (with Inside waters),2004,WC,84,1,9.944529414923556e-5,1.024994131351543e-4,3.054118985918735e-6,9.916952803290546e-5,0,4.977521512847978e-4
Sleeper shark,FMP (with Inside waters),2005,BSAI,198,31,0.0016206756366065865,0.0016378391973732793,1.716356076669279e-5,3.5412564106085e-4,0.0010697266532523587,0.002583235757024124
Sleeper shark,FMP (with Inside waters),2005,CAN,169,5,4.265916251691735e-5,4.1823145228392296e-5,-8.36017288525053e-7,1.8550434978614543e-5,1.7044144722614255e-5,1.0207716801743058e-4
Sleeper shark,FMP (with Inside waters),2005,GOA,764,147,0.006360955971742615,0.006351271156810221,-9.684814932393523e-6,7.667468125382872e-4,0.004995809783596266,0.008056875485724086
Sleeper shark,FMP (with Inside waters),2005,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2006,BSAI,311,21,0.001015328462274788,0.001006387840628521,-8.940621646266831e-6,2.695440495561784e-4,5.925285340606395e-4,0.0016952456164237904
Sleeper shark,FMP (with Inside waters),2006,CAN,171,4,7.253568984519239e-5,7.262794051372617e-5,9.225066853377998e-8,4.1494159660732334e-5,2.0641361574297766e-5,2.0513836562336123e-4
Sleeper shark,FMP (with Inside waters),2006,GOA,769,142,0.005532031460215694,0.005502868831527145,-2.916262868854925e-5,6.686351939386967e-4,0.0043240724513415995,0.007044848294677499
Sleeper shark,FMP (with Inside waters),2006,WC,84,1,1.2010598740602931e-4,1.1911912930971945e-4,-9.868580963098627e-7,1.222166142457429e-4,0,6.042348080140082e-4
Sleeper shark,FMP (with Inside waters),2007,BSAI,225,22,0.0011715027714348915,0.0011786537285574789,7.150957122587388e-6,2.5557369554665373e-4,7.593381397879386e-4,0.0017556195809649714
Sleeper shark,FMP (with Inside waters),2007,CAN,172,5,1.0633898505346487e-4,1.0646455818676558e-4,1.2557313330070936e-7,5.6181140758733536e-5,3.545700287311392e-5,3.1284278005471605e-4
Sleeper shark,FMP (with Inside waters),2007,GOA,774,121,0.005366590765742303,0.005362408500277742,-4.182265464561068e-6,6.834514564986008e-4,0.004239496979903671,0.007090877831606451
Sleeper shark,FMP (with Inside waters),2007,WC,84,2,2.387721686783941e-4,2.3689350635626007e-4,-1.8786623221340385e-6,1.6492390667141655e-4,0,8.361211234440583e-4
Sleeper shark,FMP (with Inside waters),2008,BSAI,225,17,9.517938376661521e-4,9.533385173252038e-4,1.5446796590517196e-6,2.4054313861828625e-4,5.868522612243454e-4,0.0016213363441467308
Sleeper shark,FMP (with Inside waters),2008,CAN,170,5,6.003986647133697e-5,5.905006695083136e-5,-9.897995205056077e-7,2.6094972406075262e-5,2.4003957192669497e-5,1.3241716567907456e-4
Sleeper shark,FMP (with Inside waters),2008,GOA,773,102,0.004256152167575822,0.0042521365248592196,-4.0156427166026035e-6,5.301855850197635e-4,0.0033531081206674422,0.005430725880113895
Sleeper shark,FMP (with Inside waters),2008,WC,82,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2009,BSAI,224,31,0.0014262520344180108,0.0014204375712342121,-5.814463183798644e-6,2.725854680501105e-4,9.689703879154032e-4,0.0021400419109080236
Sleeper shark,FMP (with Inside waters),2009,CAN,172,9,7.594680348342672e-5,7.617244094542251e-5,2.2563746199579253e-7,2.4661686801298386e-5,3.389822752863206e-5,1.4312915264992228e-4
Sleeper shark,FMP (with Inside waters),2009,GOA,769,120,0.003267076582168377,0.0032765127284341763,9.436146265799205e-6,4.5568479119608763e-4,0.002531534747984844,0.004311862221000535
Sleeper shark,FMP (with Inside waters),2009,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2010,BSAI,223,20,9.591148431264315e-4,9.724960742254865e-4,1.3381231099055067e-5,2.5605883111152106e-4,5.639741064513231e-4,0.0016058307449291276
Sleeper shark,FMP (with Inside waters),2010,CAN,172,4,3.673443774100199e-5,3.681505591099384e-5,8.061816999184495e-8,1.9170554909618938e-5,1.4667932717056031e-5,9.555746629878061e-5
Sleeper shark,FMP (with Inside waters),2010,GOA,774,70,0.0022397580961351945,0.002245109076495796,5.350980360601613e-6,3.9097481570659975e-4,0.001620377366261264,0.0032196819767794406
Sleeper shark,FMP (with Inside waters),2010,WC,84,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2011,BSAI,222,12,4.5698081637304713e-4,4.566243720705214e-4,-3.564443025257276e-7,1.2955004351576147e-4,2.3033366070593809e-4,7.631946577825557e-4
Sleeper shark,FMP (with Inside waters),2011,CAN,172,3,2.9852988955886738e-5,3.051989841096521e-5,6.669094550784696e-7,1.702805251123466e-5,9.889979215882636e-6,7.961686471072484e-5
Sleeper shark,FMP (with Inside waters),2011,GOA,771,63,0.0020262922323203646,0.002041038799246406,1.4746566926041212e-5,3.611476271393758e-4,0.0014357029497819773,0.0028661912513344447
Sleeper shark,FMP (with Inside waters),2011,WC,134,1,6.261752740515944e-5,6.573788369591267e-5,3.120356290753232e-6,6.294655874186676e-5,0,3.1588728141245697e-4
Sleeper shark,FMP (with Inside waters),2012,BSAI,228,7,5.547981535028867e-4,5.560948623671749e-4,1.296708864288146e-6,2.3257354324428836e-4,2.220171793827853e-4,0.001275472396799519
Sleeper shark,FMP (with Inside waters),2012,CAN,171,2,2.951985948546885e-5,2.8713403490751445e-5,-8.064559947174039e-7,2.012791068113967e-5,0,8.86532865238659e-5
Sleeper shark,FMP (with Inside waters),2012,GOA,775,54,0.0017909659651906503,0.0017922851160887153,1.3191508980649365e-6,2.8761865622034327e-4,0.0012859212262431691,0.002444624222198377
Sleeper shark,FMP (with Inside waters),2012,WC,94,1,5.4859382339774544e-5,5.4803077033681534e-5,-5.6305306093009484e-8,5.513629842848936e-5,0,2.761537838873707e-4
